report_id,report_name,source_system,runs,failed_runs,sla_misses,failed_quality_checks,warning_quality_checks,avg_latency_minutes,recommended_fix
RPT002,Bottler Invoice Reconciliation,retailer POS feed,60,11,26,3,1,77.7,Prioritize failed validation checks and reconcile against source controls
RPT016,Bottler Performance Summary,retailer POS feed,60,4,17,3,1,115.5,Prioritize failed validation checks and reconcile against source controls
RPT007,Forecast Variance Review,customer EDI gateway,60,10,19,2,2,72.0,Prioritize failed validation checks and reconcile against source controls
RPT032,External Reporting Package,trade program system,60,5,19,2,1,136.8,Prioritize failed validation checks and reconcile against source controls
RPT018,Executive KPI Overview,trade program system,60,8,26,1,2,41.8,Prioritize failed validation checks and reconcile against source controls
RPT031,Sales Team Service Desk,customer hierarchy master,60,4,24,1,1,79.2,Prioritize failed validation checks and reconcile against source controls
RPT021,Store Count Reconciliation,customer EDI gateway,60,2,23,1,3,26.9,Prioritize failed validation checks and reconcile against source controls
RPT025,Power BI Usage and Training,trade program system,60,1,22,1,2,39.1,Prioritize failed validation checks and reconcile against source controls
RPT003,Retailer POS Sell-Through,customer hierarchy master,60,3,20,1,1,118.1,Prioritize failed validation checks and reconcile against source controls
RPT008,Outlet Segmentation Monitor,bottler invoice hub,60,6,20,1,3,24.2,Prioritize failed validation checks and reconcile against source controls
RPT010,Customer Onboarding Readiness,customer hierarchy master,60,1,20,1,1,53.8,Prioritize failed validation checks and reconcile against source controls
RPT023,Planning Assumption Tracker,retailer POS feed,60,10,20,1,1,112.4,Prioritize failed validation checks and reconcile against source controls
RPT006,Distributor Volume Bridge,distributor reconciliation feed,60,6,19,1,2,62.1,Prioritize failed validation checks and reconcile against source controls
RPT005,Customer Hierarchy Health,planning workbook intake,60,5,18,1,1,157.6,Prioritize failed validation checks and reconcile against source controls
RPT028,Variance Contribution Workbench,customer EDI gateway,60,4,18,1,1,83.9,Prioritize failed validation checks and reconcile against source controls
RPT012,Route-to-Market Snapshot,planning workbook intake,60,3,17,1,0,88.2,Prioritize failed validation checks and reconcile against source controls
RPT014,Invoice Adjustment Explorer,customer EDI gateway,60,4,17,1,2,121.4,Prioritize failed validation checks and reconcile against source controls
RPT011,Promotion Compliance View,trade program system,60,3,13,1,3,127.5,Prioritize failed validation checks and reconcile against source controls
RPT024,Data Stewardship Queue,customer hierarchy master,60,4,13,1,0,97.9,Prioritize failed validation checks and reconcile against source controls
RPT022,Funding Claim Audit,bottler invoice hub,60,14,28,0,3,130.7,Tune refresh path and confirm capacity window
RPT027,Metric Definition Catalog,distributor reconciliation feed,60,12,27,0,3,136.7,Tune refresh path and confirm capacity window
RPT020,Stakeholder Request Backlog,distributor reconciliation feed,60,6,25,0,0,136.7,Tune refresh path and confirm capacity window
RPT001,National Customer Scorecard,bottler invoice hub,60,8,23,0,0,141.0,Tune refresh path and confirm capacity window
RPT029,Churn and Penetration Monitor,bottler invoice hub,60,10,22,0,2,67.2,Tune refresh path and confirm capacity window
RPT030,Change Contribution Review,retailer POS feed,60,4,22,0,1,63.4,Tune refresh path and confirm capacity window
RPT013,Monthly Business Review Pack,distributor reconciliation feed,60,7,21,0,3,127.2,Tune refresh path and confirm capacity window
RPT009,Pricing Exception Digest,retailer POS feed,60,7,19,0,4,44.6,Tune refresh path and confirm capacity window
RPT017,Program Accrual Watchlist,customer hierarchy master,60,3,19,0,2,47.0,Tune refresh path and confirm capacity window
RPT019,Channel Penetration Trends,planning workbook intake,60,7,18,0,3,23.3,Tune refresh path and confirm capacity window
RPT026,Source Refresh Reliability,planning workbook intake,60,3,18,0,3,42.2,Tune refresh path and confirm capacity window
RPT004,Trade Program Funding Tracker,trade program system,60,3,16,0,2,58.2,Tune refresh path and confirm capacity window
RPT015,Retailer Data Quality Pulse,bottler invoice hub,60,3,16,0,1,108.2,Tune refresh path and confirm capacity window
